Date,stockReturn
11/16/18,-0.016643109
11/19/18,-0.018151241
11/20/18,0.003043291
11/21/18,-0.006554842
11/23/18,0.015532368
11/26/18,0.003261692
11/27/18,0.02297398
11/28/18,-0.002183108
11/29/18,0.008170748
11/30/18,0.010941426
12/3/18,-0.032364903
12/4/18,-0.001522228
12/6/18,-0.023320119
12/7/18,0.001762154
12/10/18,-0.000356346
12/11/18,0.005419504
12/12/18,-0.00019993
12/13/18,-0.01908671
12/14/18,-0.020773481
12/17/18,8.64E-05
12/18/18,-0.015395714
12/19/18,-0.015772106
12/20/18,-0.020588228
12/21/18,-0.027112254
12/24/18,0.049593743
12/26/18,0.008562681
12/27/18,-0.001241583
12/28/18,0.008492484
12/31/18,0.001268485
